YEAR,BRANCH,TENTH,TWELVETH,BE BRANCH,BE_AGG,COMPANY PLCD,STIPEND
2012,DD,NaN,NaN,IT,61.88,"GroupT, Belgium",NaN
2012,DD,78.8,73.6,IT,62.22,"LU, UK",NaN
2012,DD,85,71.4,IT,7.1,"GroupT, Belgium",NaN
2012,DD,86,60,ISE,61,"LU, UK",NaN
2012,DD,87,86,CSE,88.5,"LU, UK",NaN
2012,DD,64.4,60.3,ECE,59.94,"LU, UK",NaN
2012,DD,81.9,80 (Diploma),ECE,67.1,"LU, UK",NaN
2012,DD,94.08,81.5,ECE,62.375,"LU, UK",NaN
2012,DD,52.64,59.8,ECE,54.8,"LU, UK",NaN
2012,DD,64.8,66.7,ECE,58.95,"LU, UK",NaN
2012,DD,86.24,71,ECE,55.6,"LU, UK",NaN
2012,DD,80.5,78.6,ECE,NaN,"LU, UK",NaN
2012,ES,83.33,92.4,ECE,79.01,"Emulex (June 17, 2013)",NaN
2012,ES,79.9,86.4,ECE,63.1,"Intel, Bangalore",NaN
2012,ES,80.16,60.3,Medical ECE,62.83,"Intel, Bangalore",NaN
2012,ES,87.84,72,ECE,67.91,"Appiness interactive Pvt. Ltd, Bangalore",NaN
2012,ES,75.4,66.4,ECE,67.88,"ISEoft, Mangalore",NaN
2012,ES,91.68,76.16,ECE,71.34,APCOGS,NaN
2012,ES,78.34,84.16,ECE,71.1,"Vigyan Labs (June 17, 2013)",NaN
2012,ES,88.64,73.33,ECE,57.21,APCOGS,NaN
2012,ES,80.4,77.5,ETC,68.6,Infineon,NaN
2012,ES,63.2,74.5,ECE,68.81,NXP Semiconductors,NaN
2012,ES,83.8,84.66,ISE,8.56,"Philips Innovation, Bangalore",NaN
2012,ES,83.52,65.6,ECE,68.79,"APCOGS (Not Joining) / DRDO, Bangalore",NaN
2012,ES,79.5,58.6,CSE,69.8,Citrix,NaN
2012,ES,70,58.16,ECE,60.09,"ISEoft, Mangalore",NaN
2012,ES,84.26,78.88 (DIPLOMA),ETC,67.33,GE Healthcare,NaN
2012,ES,78.86,69.84,ECE,62.32,"Symphony Teleca (July 10, 2013)",NaN
2012,ES,86.4,73,ECE,8.61,"Intel, Bangalore",NaN
2012,ES,68.16,64.5,CSE,57.67,APCOGS,NaN
2012,ES,78.86,73,ECE,61.35,"Symphony Teleca (July 10, 2013)",NaN
2012,ES,89.12,81,EEE,67.73,"Microchip, Bangalore",NaN
2012,ES,67.2,78.2,ECE,60.58,NXP Semiconductors,NaN
2012,ES,46.72,75.9 (DIPLOMA),ECE,61.24,"ISEoft, Mangalore",NaN
2012,ES,70.33,85.4,ECE,60.43,APCOGS,NaN
2012,ES,80,52,ETC,56.12,"Anr Electronixs, Bangalore",NaN
2012,ES,89.92,81.33,EEE,67.72,Infineon,NaN
2012,ES,80.1,76.4,CSE,65.47,Citrix,NaN
2012,ES,85.96,57.16,CSE,75.8,"Mount Abu (July 1, 2013)",NaN
2012,ES,72,62,ISE,72,"ISEoft, Mangalore",NaN
2012,ES,63.71,52.4,ISE,64.9,"ISEoft, Mangalore",NaN
2012,ES,72.64,68.33,ECE,60,NaN,NaN
2012,ES,86,64,CSE,56,"ST MicroECE, Noida (June 14, 2013)",NaN
2012,ES,84,94.2,ECE,82.83,"ST MicroECE, Noida (June 14, 2013)",NaN
2012,ES,81.44,54.33,ECE,60.75,"TATA POWER SED, BANAGLORE",NaN
2012,ES,89.33,86,ECE,80,"ST MicroECE, Noida (June 14, 2013)",NaN
2012,ES,85.92,83.33,ECE,77.89,"Tenet, Bangalore",NaN
