YEAR,BRANCH,COMPANY PL
2012,DD,"GroupT, Belgium"
2012,DD,"LU, UK"
2012,DD,"GroupT, Belgium"
2012,DD,"LU, UK"
2012,DD,"LU, UK"
2012,DD,"LU, UK"
2012,DD,"LU, UK"
2012,DD,"LU, UK"
2012,DD,"LU, UK"
2012,DD,"LU, UK"
2012,DD,"LU, UK"
2012,DD,"LU, UK"
2012,ES,"Emulex (June 17, 2013)"
2012,ES,Intel
2012,ES,Intel
2012,ES,"Appiness interactive Pvt. Ltd, Bangalore"
2012,ES,"iSoft, Mangalore"
2012,ES,APCOGS
2012,ES,"Vigyan Labs (June 17, 2013)"
2012,ES,APCOGS
2012,ES,"Infineon (Aug 1, 2013)"
2012,ES,NXP Semiconductors
2012,ES,"Philips, Bangalore"
2012,ES,"APCOGS (Not Joining) / DRDO, Bangalore"
2012,ES,Citrix
2012,ES,"iSoft, Mangalore"
2012,ES,GE Healthcare
2012,ES,"Symphony Teleca (July 10, 2013)"
2012,ES,Intel
2012,ES,APCOGS
2012,ES,"Symphony Teleca (July 10, 2013)"
2012,ES,"Microchip (July 1, 2013)"
2012,ES,NXP Semiconductors
2012,ES,"iSoft, Mangalore"
2012,ES,APCOGS
2012,ES,"Anr Electronixs, Bangalore"
2012,ES,"Infineon (Aug 1, 2013)"
2012,ES,Citrix
2012,ES,"Mount Abu (July 1, 2013)"
2012,ES,"iSoft, Mangalore"
2012,ES,"iSoft, Mangalore"
2012,ES,NAN
2012,ES,"ST Microelectronics, Noida (June 14, 2013)"
2012,ES,"ST Microelectronics, Noida (June 14, 2013)"
2012,ES,"TATA POWER SED, BANAGLORE"
2012,ES,"ST Microelectronics, Noida (June 14, 2013)"
2012,ES,"Tenet, Bangalore"
2012,ES,"Traana Technologies, Bangalore"
2012,ES,"TechMahindra, Bangalore"
2012,ES,GE Healthcare
2012,ES,"METI, Mysore (July 1, 2013)"
2012,ES,"iSoft, Mangalore"
2012,ES,"SM Silicon, Hyd"
2012,ES,"Tenet, Bangalore"
2012,ES,"IBM (July 15, 2013)"
2012,ES,"Raylogix, Bangalore"
2012,ES,"METI, Mysore (July 1, 2013)"
2012,ES,APCOGS
2012,ES,APCOGS
2012,ES,"Serge Technology, Bangalore"
2012,ES,"KPIT, Bangalore"
2012,ES,"Silvan Innovation Labs Pvt Limited, Bangalore"
2012,ES,"Reign Technology, Bangalore"
2012,ES,Lantiq
2012,ES,"EasyArm, Bangalore"
2012,ES,NAN
2012,ES,"iSoft, Mangalore"
2012,ES,"Tonse, Manipal"
2012,ES,NAN
2012,ES,Off Campus
2012,ES,"Infineon (Aug 1, 2013)"
2012,ES,"ST Microelectronics, Noida (June 14, 2013)"
2012,ES,NAN
2012,ES,"Ericsson (July 15, 2013)"
2012,ES,Intel
2012,ES,"Dataway, Bangalore"
2012,ES,"SLN Technology, Bangalore"
2012,ES,"Philips, Bangalore"
2012,ES,"APCOGS (June 10, 2013)"
2012,ES,"AGV Systems, Mumbai"
2012,ES,NAN
2012,ES,"Mount Abu (July 1, 2013)"
2012,ES,"Axxonet/ cegonsoft, Bangalore"
2012,ES,"Brisa (July 1, 2013)"
2012,ES,"Altair, Bangalore"
2012,ES,BoP
2012,ES,"iSoft, Mangalore"
2012,ES,NAN
2012,ES,"Philips (June 10, 2013)"
2012,ES,"ITIE, Bangalore"
2012,ES,NAN
2012,ES,"MDN, Manipal"
2012,ES,"ST Microelectronics, Noida (June 14, 2013)"
2012,ES,"Emulex (June 17, 2013)"
2012,ES,"Brisa (July 1, 2013)"
2012,ES,APCOGS
2012,ES,NAN
2012,ES,"Tech Mahindra, Hyd"
2012,ES,"Boavista business solutions, Bangalore"
2012,ES,NAN
2012,ES,"GE, Bangalore"
2012,ES,"KPIT, Bangalore"
2012,ES,APCOGS
2012,ES,"Angel Attack systems, Bangalore"
2012,ES,Course Discountined
2012,ES,"Siris IT Service, Bangalore"
2012,ES,"Muthunga Technolies, Bangalore"
2012,ES,"IISc, Bangalore"
2012,EWT,APCOGS
2012,EWT,"iSoft, Mangalore"
2012,EWT,enterpeneural
2012,EWT,"APCOGS (June 10, 2013)"
2012,EWT,"Matri Tech, Hyd offered and denied"
2012,EWT,APCOGS
2012,ITM,"Oracle (June 1, 2013 to May 31, 2014)"
2012,ITM,"Slutura Solutions, Bangalore"
2012,ITM,"Joshi, SOIS"
2012,ITM,"Matri Tech, Hyd offered and denied"
2012,MS,"Philips, Bangalore"
2012,MS,NAN
2012,MS,"Volmo, "
2012,MS,"MIRS, PHILIPS"
2012,MS,"MIRS, PHILIPS"
2012,MS,"Philips (July 1, 2013)"
2012,MS,"MIRS, PHILIPS"
2012,MS,SAP Labs
2012,MS,NAN
2012,MS,"HANDSREL (June 17, 2013)"
2012,MS,"MIRS, PHILIPS"
2012,MS,"Philips (July 1, 2013)"
2012,MS,"Philips, Bangalore (June 10, 2013)"
2012,MS,"iSoft, Mangalore"
2012,MS,Philips Healthcare
2012,MS,Intel
2012,MS,"KPIT Cummins (June 17, 2013)"
2012,MS,"iSoft, Mangalore"
2012,MS,University of Pennsylvania
2012,MS,"Religare Heathfore Tech, Bangalore"
2012,MS,"HANDSREL (June 17, 2013)"
2012,MS,"MIRS, PHILIPS"
2012,VIR,"iSoft, Mangalore"
2012,VIR,"Volmo, June 24, 2013"
2012,VIR,"Ericsson (July 15, 2013)"
2012,VIR,Bosch
2012,VIR,"Altair, Bangalore"
2012,VIR,"iSoft, Mangalore"
2012,VIR,"Glopore IMS, Bangalore (June 24, 2013) "
2012,VLSI,"ST Microelectronics (Noida, June 14, 2013)"
2012,VLSI,Freescale
2012,VLSI,"IIT, Bombay"
2012,VLSI,NXP Semiconductors
2012,VLSI,LSI Tech
2012,VLSI,"ST Microelectronics, (Hyd June 14, 2013)"
2012,VLSI,Tech Vulcan
2012,VLSI,"LSI Tech (July 17, 2013)"
2012,VLSI,"Cognitive Design Technology, Bangalore"
2012,VLSI,"Tejas Networks, Bangalore"
2012,VLSI,"SPEL Semiconductor, Chennai"
2012,VLSI,"SPEL Semiconductor, Chennai"
2012,VLSI,"Synopsys (June 17, 2013)"
2012,VLSI,"Synopsys (June 17, 2013)"
2012,VLSI,Freescale
2012,VLSI,"SPEL Semiconductor, Chennai"
2012,VLSI,"Squid Design System, Hyd"
2012,VLSI,"Microchip (July 1, 2013)"
2012,VLSI,"LSI Tech (July 17, 2013)"
2012,VLSI,"DLRL, AndraPradesh"
2012,VLSI,"CVC, Bangalore"
2012,VLSI,Tech Vulcan (ST Microelectronics)
2012,VLSI,"BEL, Bangalore"
2012,VLSI,"MDN, Manipal"
2012,VLSI,"BEL, Bangalore"
2012,VLSI,"Karmic, Belgaum"
2012,VLSI,NAN
2012,VLSI,"Microchip (July 1, 2013)"
2012,VLSI,"HAL, Hyd"
2012,VLSI,NAN
2012,VLSI,"SPEL Semiconductor, Chennai"
2012,VLSI,"iSoft, Mangalore"
2012,VLSI,"Ericsson (July 15, 2013)"
2012,VLSI,"BEL, Bangalore"
2012,VLSI,"NAL, Bangalore"
2012,VLSI,"SPEL Semiconductor, Chennai"
2012,VLSI,"Tenet, Bangalore"
2012,VLSI,"SmartPlay, Bangalore"
2012,VLSI,"SPEL Semiconductor, Chennai"
2012,VLSI,"Sicon, Bangalore"
2012,VLSI,NAN
2012,VLSI,"BEL, Bangalore"
2012,VLSI,"IIT, Kanpur"
2012,VLSI,"Synopsys (June 17, 2013)"
2012,VLSI,"LSI Tech (July 17, 2013)"
2012,VLSI,"NAL, Bangalore"
2012,VLSI,LSI Tech
2012,VLSI,"MDN, Manipal"
2012,VLSI,NXP Semiconductors
2012,VLSI,NAN
2012,VLSI,"Xilinx (June 24, 2013)"
2012,VLSI,"BEL, Bangalore"
2012,VLSI,NAN
2012,VLSI,BCS Inovation Bangalore
2012,VLSI,NAN
2012,VLSI,NAN
2012,VLSI,"SPEL Semiconductor, Chennai"
2012,VLSI,"iSoft, Mangalore"
2012,VLSI,"TATA POWER SED, BANAGLORE"
2012,VLSI,NAN
2012,VSDV,Whizchip
2012,VSDV,Whizchip
2012,VSDV,Whizchip
2012,VSDV,Whizchip
2012,VSDV,Whizchip
2013,DD,NAN
2013,DD,"ESIGELEC, France"
2013,DD,"ESIGELEC, France"
2013,DD,"ESIGELEC, France"
2013,DD,"ESIGELEC, France"
2013,DD,"ESIGELEC, France"
2013,DD,"ESIGELEC, France"
2013,DD,"ESIGELEC, France"
2013,DD,"ESIGELEC, France"
2013,DD,"ESIGELEC, France"
2013,DD,"ESIGELEC, France"
2013,DD,"ESIGELEC, France"
2013,DD,"ESIGELEC, France"
2013,DD,"ESIGELEC, France"
2013,DD,NAN
2013,ES,"LSI, Bangalore"
2013,ES,"NXP, Bangalore"
2013,ES,"LSI, Bangalore"
2013,ES,"MDN, Manipal"
2013,ES,"Tonse, Manipal"
2013,ES,"BlackBuck, Hyd "
2013,ES,"Tonse, Manipal"
2013,ES,Optimus Logic private limited
2013,ES,"HoneyWell, MSRIT Research Group"
2013,ES,"MDN, Manipal"
2013,ES,"Tonse, Manipal"
2013,ES,"Ensilica, Bangalore"
2013,ES,"ACS, Bangalore"
2013,ES,"Tonse, Manipal"
2013,ES,"Tenet, Bangalore"
2013,ES,"NXP, Bangalore"
2013,ES,"Tonse, Manipal"
2013,ES,"Philips Bop, Manipal"
2013,ES,NAN
2013,ES,NAN
2013,ES,"Pragati Automation, Bangalore"
2013,ES,"Adrit Techosolutions, Bangalore"
2013,ES,"NXP, Bangalore"
2013,ES,"Brisa, Bangalore"
2013,ES,"Intel, Bangalore"
2013,ES,"Intel, Bangalore"
2013,ES,"eMath Tech, Bangalore"
2013,ES,"Philips Innovation, Bangalore"
2013,ES,"Technoelexis, Hyd"
2013,ES,"Microchip, Bangalore"
2013,ES,"Ricoh, Bangalore"
2013,ES,"Broadcom, Bangalore"
2013,ES,NAN
2013,ES,"Philips Lighting-Research, Bangalore"
2013,ES,"Infineon, Bangalore"
2013,ES,"PE System Ltd, Bangalore"
2013,ES,"Bosch, Bangalore"
2013,ES,"Intel, Bangalore"
2013,ES,"Microchip, Bangalore"
2013,ES,"Lantiq, Bangalore"
2013,ES,"Broadcom, Bangalore"
2013,ES,"Tata Autocomp, pune"
2013,ES,"Infineon, Bangalore"
2013,ES,"Tonse, Manipal"
2013,ES,"Philips Innovation, Bangalore"
2013,ES,"Philips Lighting-Research, Bangalore"
2013,ES,"iSoft, Mangalore"
2013,ES,"Brevera, Mangalore"
2013,ES,"Philips Research, Bangalore"
2013,ES,"iSoft, Mangalore"
2013,ES,"Philips Innovation, Bangalore"
2013,ES,"ACS, Manipal"
2013,ES,"Three Media Tech, Pune"
2013,ES,"Adrit Techosolutions, Bangalore"
2013,ES,"Philips Innovation, Bangalore"
2013,ES,"ERDE, Bangalore"
2013,ES,"Odigma, Bangalore"
2013,ES,"Siemens, Bangalore"
2013,ES,"Broadcom, Bangalore"
2013,ES,"Aryaka, Bangalore"
2013,ES,"Tonse, Manipal"
2013,ES,"Brisa, Bangalore"
2013,ES,"iSoft, Mangalore"
2013,ES,"Philips-BoP, Manipal"
2013,ES,"Tenet, Bangalore"
2013,ES,"BEL, Bangalore"
2013,ES,"Brisa, Bangalore"
2013,ES,"Tonse, Manipal"
2013,ES,"Intel, Bangalore"
2013,ES,"NeuroSynaptic, Bangalore"
2013,ES,"ST, Noida"
2013,ES,NAN
2013,ES,"ISRO, Bangalore"
2013,ES,"CITL, Bangalore"
2013,ES,"Philips Innovation, Bangalore"
2013,ES,"Tonse, Manipal"
2013,ES,"Sloki Software, Bangalore"
2013,ES,"Native5, Bangalore"
2013,ES,"GE, Bangalore"
2013,ES,"Brisa, Bangalore"
2013,ES,"Wipro, Bangalore"
2013,ES,"ISRO, Bangalore"
2013,ES,"ST Micro, Noida"
2013,ES,"Consilient-Tech, Bangalore"
2013,ES,"Intel, Bangalore"
2013,ES,"Amaron Power systems, Bangalore"
2013,ES,"ST, Noida"
2013,ES,"Brisa, Bangalore"
2013,ES,"EMC, Bangalore"
2013,ES,"Pace Wisdom, Bangalore"
2013,ES,"Microchip, Bangalore"
2013,ES,"Intel, Bangalore"
2013,ES,"IBM, Bangalore"
2013,ES,"iSoft, Mangalore"
2013,ES,"Matrix Publishing, Bangalore"
2013,ES,"Inbetween Software, Goa"
2013,ES,"Opex Labs, Bangalore"
2013,ES,"Genpact, Bangalore"
2013,ES,"iSoft, Mangalore"
2013,ES,"iSoft, Mangalore"
2013,ES,"Technoelexis, Hyd"
2013,ES,"Ezzoft, Bangalore"
2013,ES,"Kamath Transformers, Bangalore"
2013,ES,Pantech
2013,ES,"Aptean, Bangalore"
2013,ES,"PE System Ltd, Bangalore"
2013,ES,"Three Media Tech, Pune"
2013,ES,"Intel, Bangalore"
2013,EWT,NAN
2013,EWT,"Tonse, Manipal"
2013,EWT,"ACS, Manipal"
2013,EWT,NAN
2013,EWT,"IBM, Bangalore"
2013,EWT,"ACS, Manipal"
2013,EWT,"ACS, Manipal"
2013,EWT,"ACS, Manipal"
2013,EWT,Immortal Engg Slutions
2013,EWT,"ACS, Manipal"
2013,EWT,"volmo, Bangalore"
2013,EWT,"Philips Innovation, Bangalore"
2013,ITM,"EMC, Bangalore"
2013,ITM,"Tonse, Manipal"
2013,ITM,"EMC, Bangalore"
2013,MSW,"Philips Research, Bangalore"
2013,MSW,"Philips Innovation, Bangalore"
2013,MSW,"MIRS, Manipal"
2013,MSW,"Native5, Bangalore"
2013,MSW,"NeuroSynaptic, Bangalore"
2013,MSW,K2 Tech
2013,MSW,"Atlas Systems, Bangalore"
2013,MSW,"SAP, Bangalore"
2013,MSW,"Sysuniverse, Chennai"
2013,MSW,"Philips, Bangalore"
2013,MSW,"MIRS, Manipal"
2013,MSW,"iSoft, Mangalore"
2013,VLSI,"ST, Noida"
2013,VLSI,"AadiSemicon, Bangalore"
2013,VLSI,"ST, Noida"
2013,VLSI,NAN
2013,VLSI,"BlackBuck, Hyd"
2013,VLSI,"Aceice, Bangalore"
2013,VLSI,"CDAC, Hyd"
2013,VLSI,"PLX Tech, Bangalore"
2013,VLSI,"EMC, Bangalore"
2013,VLSI,"ST, Noida"
2013,VLSI,"MDN, Manipal"
2013,VLSI,"Reliable Technosystems, Hyd"
2013,VLSI,"BEL, Bangalore"
2013,VLSI,"Infineon, Bangalore"
2013,VLSI,"Infineon, Bangalore"
2013,VLSI,"Microchip, Bangalore"
2013,VLSI,"Intel, Bangalore"
2013,VLSI,"Nest, Trivandrum"
2013,VLSI,"Smart Play, Bangalore"
2013,VLSI,Grid India
2013,VLSI,"Barc, Mumbai"
2013,VLSI,"Microchip, Bangalore"
2013,VLSI,"MDN, Manipal"
2013,VLSI,"ST Micro, Noida"
2013,VLSI,"Emulex, Bangalore"
2013,VLSI,Global Tech. Bangalore
2013,VLSI,"MDN, Manipal"
2013,VLSI,NAN
2013,VLSI,"Barc, Mumbai"
2013,VLSI,"BEL, Bangalore"
